ISO3;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
SEN;46157;48407;45055;43305;43130;47196;50004;39472;52366;59464;61079;65052;76927;79533;74516;83794;78409;78777;82569
SGP;37;39;42;40;44;41;42;42;42;42;45;45;50;50;51;47;46;47;47
SLB;611;592;648;648;694;694;722;740;740;740;740;740;749;758;766;766;778;783;788
SLE;6489;5665;5665;6180;6592;7210;8755;8755;9270;9785;10094;11330;11536;12312;13300;13200;13417;13387;13409
SLV;34749;34654;39944;29234;26499;26978;30562;31258;32137;31097;32992;23377;26023;18412;18630;18578;18697;18315;17407
SOM;61600;62700;61600;63800;64900;67650;66000;59400;58850;58300;59180;59620;59840;60500;60439;60387;59988;59282;58690
SPM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRB;0;0;0;0;0;0;83482;94593;98676;99987;95587;80645;78508;68467;73492;66032;71014;62033;71158
SSD;0;0;0;0;0;0;0;0;0;0;0;0;200000;213000;225000;213340;217610;238910;227739
STP;108;109;114;119;122;125;120;128;128;132;134;137;140;144;159;167;157;161;161
SUR;1952;1890;1606;1607;1483;1338;1610;1594;1726;1891;1882;1940;1850;1674;1660;1474;1934;1903;1616
SVK;47950;38175;41640;32885;25580;26385;21413;22989;19862;17672;15611;13177;13177;11721;11597;10711;10261;10534;10422
SVN;34572;39159;40472;43136;40079;37382;37908;36203;36943;35260;35772;35571;33089;32104;31566;33583;35656;35795;34870
SWE;149810;143190;146480;140400;142420;135940;137410;133540;128790;139830;137800;137880;125340;125880;131620;143980;131250;132070;136870
SWZ;17600;8018;12500;12900;15000;14300;15000;15000;15200;15400;15850;16450;17000;17100;16635;16559;16540;16658;16710
SYC;35;30;30;30;25;20;13;17;12;8;7;3;5;10;14;10;11;12;11
SYR;47255;42420;47223;47190;48365;55411;60554;65944;64247;63411;62215;71503;68859;70509;65623;64014;72939;73138;74227
TCD;176760;186120;196080;206520;217440;228960;241080;253920;267360;281640;296520;312240;328800;346320;364680;384022;397527;420468;443952
TGO;6620;8153;8063;7475;7863;8200;8325;8531;8800;9085;9250;9375;9625;9813;10892;10234;10393;10703;10632
THA;201859;149545;143184;145131;153142;154628;163351;182818;173662;178948;201066;187900;173736;166215;161922;169505;150496;135190;151730
TJK;14800;16800;19900;25000;27100;26700;23700;25200;25100;25976;28642;29300;30683;38500;44200;37794;40165;40720;39560
TKL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TKM;72000;80000;92000;100500;100000;103000;102000;138000;136000;140000;140004;140004;144990;142301;143067;143305;143199;143306;144223
TLS;1839;1664;2281;1859;1427;1437;1468;1488;1519;1549;1600;1662;1712;1763;1765;1870;1799;2048;2074
TON;350;342;342;342;342;342;352;361;361;361;349;348;370;358;378;381;381;382;383
TTO;810;823;859;762;765;765;600;500;700;1250;1155;975;993;1008;1036;1025;1028;1055;1068
TUN;52000;52400;56000;50200;46700;45800;48800;52400;54000;51600;55800;54300;54600;56000;58000;58300;59300;59800;60291
TUR;358683;333884;329260;292163;366950;323258;342479;433951;371953;326291;621971;646521;801080;869628;882524;1015251;1059546;988821;1004261
TUV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TWN;5681;5707;5853;6023;5620;6048;5626;5480;5683;6099;6343;6169;6187;6693;6874;6875;6818;7027;7059
TZA;230000;181000;182000;182500;184000;204520;208046;180629;218976;225178;243943;262606;289835;299581;309353;319112;319803;320420;329372
UGA;96750;101400;115000;125000;135000;147000;160000;174150;169950;175049;180300;185709;191280;199008;204731;214210;223721;231432;238729
